COLLEGES;CLASSES;EFF_G;EFF_F;EFF_T;PRES_G;PRES_F;PRES_T;MOY_MAX_F;MOY_MAX_G;MOY_MIN_F;MOY_MIN_G;inf_6.5_G;inf_6.5_F;inf_6.5_T;6.5_7.5_G;6.5_7.5_F;6.5_7.5_T;7.5_9_G;7.5_9_F;7.5_9_T;9_10_G;9_10_F;9_10_T;10_12_G;10_12_F;10_12_T;12_14_G;12_14_F;12_14_T;14_16_G;14_16_F;14_16_T;sup_16_G;sup_16_F;sup_16_T;;;;
CPEG CREUSET DU SAVOIR;6e;9;19;28;9;19;28;17.81;18.42;7.88;6.27;0.0;5.3;3.6;0.0;0.0;0.0;22.2;26.3;25.0;22.2;5.3;10.7;0.0;15.8;10.7;22.2;5.3;10.7;11.1;10.5;10.7;22.2;31.6;28.6;;;;
CPEG CREUSET DU SAVOIR;5e;11;15;26;11;15;26;15.56;15.42;11.1;9.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.3;7.7;27.3;33.3;30.8;36.4;26.7;30.8;36.4;26.7;30.8;0.0;0.0;0.0;;;;
CPEG CREUSET DU SAVOIR;4e;10;8;18;10;8;18;16.48;13.89;8.53;7.74;0.0;0.0;0.0;0.0;0.0;0.0;20.0;37.5;27.8;30.0;12.5;22.2;10.0;12.5;11.1;10.0;37.5;22.2;20.0;0.0;11.1;10.0;0.0;5.6;;;;
CPEG CREUSET DU SAVOIR;3e;7;5;12;7;5;12;14.99;13.33;9.11;9.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.9;40.0;41.7;28.6;40.0;33.3;14.3;20.0;16.7;14.3;0.0;8.3;0.0;0.0;0.0;;;;
CPEG CREUSET DU SAVOIR;Cycle 1;37;47;84;37;47;84;17.81;18.42;7.88;6.27;0.0;2.1;1.2;0.0;0.0;0.0;10.8;17.0;14.3;21.6;12.8;16.7;16.2;23.4;20.2;21.6;19.1;20.2;21.6;12.8;16.7;8.1;12.8;10.7;;;;
CPEG DAR ALHADITH;6e;13;8;21;13;8;21;17.93;13.08;6.83;8.84;0.0;0.0;0.0;7.7;0.0;4.8;7.7;12.5;9.5;7.7;37.5;19.0;0.0;25.0;9.5;23.1;25.0;23.8;15.4;0.0;9.5;38.5;0.0;23.8;;;;
CPEG DAR ALHADITH;5e;10;12;22;9;12;21;14.28;17.73;10.71;10.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.6;16.7;33.3;22.2;33.3;28.6;22.2;25.0;23.8;0.0;25.0;14.3;;;;
CPEG DAR ALHADITH;Cycle 1;23;20;43;22;20;42;17.93;17.73;6.83;8.84;0.0;0.0;0.0;4.5;0.0;2.4;4.5;5.0;4.8;4.5;15.0;9.5;22.7;20.0;21.4;22.7;30.0;26.2;18.2;15.0;16.7;22.7;15.0;19.0;;;;
CPEG DESTINY BRIGHTER;6e;1;3;4;1;3;4;9.5;13.52;9.5;10.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;25.0;0.0;33.3;25.0;0.0;66.7;50.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG DESTINY BRIGHTER;5e;6;4;10;5;4;9;15.18;14.67;5.25;10.13;20.0;0.0;11.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;25.0;22.2;20.0;50.0;33.3;40.0;25.0;33.3;0.0;0.0;0.0;;;;
